# Ground-material opacity - generated by ctrmap.tools.GroundMaterialAudit.
# A terrain brush may only paint into one of the map's OWN materials when
# that material's texture is essentially opaque. Transparent ones are sprite
# strips and decoration atlases: painting a floor with them draws nothing.
# material	texture	occurrences	worstOpaquePercent
pasted__mizutama_soko	mizutama01	1	0.00
pasted__others_grass_decolate	r120_alpha	4	24.93
pasted__pasted__ChipRef_cave_basic	gake_01_02	4	100.00
pasted__pasted__ChipRef_chip_cave12	chip_doukutsu01	4	100.00
pasted__pasted__carpetMAT0	spship01_carpet03_r	1	100.00
pasted__pasted__d108r0105_world01_02_03_chip_grass_decolate	chip_alpha	1	16.65
pasted__pasted__f_gake_sea_a1	d153r0101_dan	1	100.00
pasted__pasted__grass01	grass01	1	16.46
pasted__pasted__keyboard	c107r0601_line	1	10.94
pasted__pasted__others_grass_decolate	r120_alpha	2	24.93
pasted__pasted__pasted__grass01	grass01	1	16.46
pasted__pasted__pasted__ice	c109_pur_ice2	1	0.00
pasted__pasted__pasted__pasted__ice	c109_pur_ice1	1	100.00
pasted__pasted__pasted__pasted__pasted__carpet01_r1	c107r0602_floor03	1	100.00
pasted__pasted__pasted__pasted__pasted__carpet01_r2	c107r0601_saku	1	31.25
pasted__pasted__pasted__pasted__pasted__pasted__pasted__carpet01_r1	c070602_ground03	1	100.00
pasted__pasted__rock_iwaMAT	iwa	1	100.00
pasted__pasted__soil_chip_soil	chip_soil_a	3	100.00
pasted__pasted__t103_muro_6_tsunagi	sabak_ground1	1	100.00
pasted__pc_door00	pokecen_door	1	100.00
pasted__r114_iwa1	r114_iwa1	3	100.00
pasted__r120a_water1	chip_river_a	1	0.00
pasted__rock_iwaMAT	iwa	2	100.00
pasted__soil_chip_soil	chip_soil_a	3	100.00
pasted__t103_muro_6_tsunagi	sabak_ground1	1	100.00
pasted__t105_hajituge_gake_top_tunagi01	r111_top01	2	100.00
pasted__toku_rocket02	toku_rocket02	2	100.00
pasted__tsunagi	chip_kusa	5	100.00
pasted__water01	d111_water01	1	10.68
pasted__wood01	wood01	1	100.00
pasted__wood_shadow	chip_wood_shadow	1	0.34
pasted__world01_02_03_pasted__fuen_tsunagi	d111r_wground	1	100.00
pc_door02	pokecen_door	1	100.00
pk_gake01	c109_gake02	11	100.00
pk_tsunagi	chip_soil_a	1	100.00
pool_water	pool_water01	1	0.00
r102_2_chip_gake01	chip_gake01	2	100.00
r103_happa	r103_happa	1	100.00
r103_mizutama2	r103_mizutama2	1	43.50
r103_out_soil	r103_out_soil	2	100.00
r104_chip_wood_b	chip_wood_b	3	47.22
r104_test_chip_wood_b	chip_wood_b	4	47.22
r104a_gake1	r104a_gake01	2	100.00
r104a_gake2	r104a_gake02	2	100.00
r104a_grass	r104a_alpha	2	18.46
r105_chip_rock_c	chip_rock_c	24	100.00
r108_iwaiwa	chip_rock_c	11	100.00
r110_road	r110_road	16	100.00
r111_a_3_t103_muro_6_tsunagi	chip_doukutsu02	2	100.00
r111a_kusa_b	chip_kusa_b	1	100.00
r112_tsunagi	mountain_kusa	10	100.00
r112r0101_carpet01	carpet01	1	100.00
r112r0101_carpet02	carpet02	1	100.00
r112r0101_ent_floor01	ent_floor01	1	100.00
r112r0101_floor01	floor01	1	100.00
r112r0101_floor011	floor011	1	28.77
r112r0101_floor02	floor02	1	100.00
r112r0101_floor05	floor05	1	100.00
r112r0101_floor07	floor07	1	100.00
r112r0101_floor08	floor08	1	100.00
r112r0101_floor09	floor09	1	100.00
r112r0101_wood01	wood01	1	100.00
r113_iwa_s	stone_small01	6	100.00
r113_kusa	r113_kusa	4	100.00
r114_gake_top	r114_top01	9	100.00
r114_gake_top2	r114_top02	10	100.00
r114_iwa1	r114_iwa1	3	100.00
r114_tsunagi	r114_top01	6	100.00
r115_iwa1	r115_iwa1	9	100.00
r115_sand	r124_sand	6	100.00
r115iwa	r115_iwa	3	100.00
r116_iwa_large	r116_iwa01	1	100.00
r116_iwa_small	r116_iwa02	2	100.00
r116_tsunagi	chip_gake01	2	100.00
r118_iwa	r118_iwa1	1	100.00
r118_iwa2	r118_iwa2	2	100.00
r119_takigake2	r119_takigake02	2	100.00
r119_takigake3	r119_takigake03	6	100.00
r11b_gake	r111b_gake01	7	100.00
r120a_mizutama_futi	mizu_edge	1	100.00
r120a_mizutama_soko	mizutama01	1	0.00
r120a_others_grass_decolate	r120_alpha	1	24.93
r120a_water1	chip_river_a	1	0.00
r121_chip_grass_decolate	alpha	1	16.65
r121_chip_wood_b	chip_wood_b	1	47.22
r122_gake_sea	r122_gake_sea	3	100.00
r124_2_chip_rock_b	chip_rock_b	20	7.62
r124_2_chip_rock_c	chip_rock_c	5	100.00
r124_2_chip_sea_b	chip_sea_b	16	100.00
r124_2_sand	r124_sand	1	100.00
r124_2_sand1	batres_sand	18	100.00
r124_chip_rock_b	chip_rock_b	4	7.62
r124_chip_sea_b1	chip_sea_b	4	100.00
r124_gake_02	r124_gake_02	2	100.00
r124_r105_chip_rock_c	chip_rock_c	2	100.00
r124_sand1	c106_sand	3	100.00
r131_iwa_large	r131_iwa01	4	100.00
r131_iwa_small	r131_iwa02	1	100.00
r132_3_stone	chip_iwa	2	100.00
r__chip_rock_b	chip_rock_b	18	7.62
r_gake_basic	r134_gake_01_01	11	100.00
r_rock_iwaMAT	iwa	6	100.00
r_sand1	sand	15	100.00
road_glass	r110_glass01	8	0.00
rock_iwaMAT	iwa	2	100.00
rockline	rockline	2	100.00
rockline1	rockline	2	100.00
room63_yuka01	room63_yuka01	1	100.00
room63_yuka02	room63_yuka02	1	100.00
room63_yuka03	room63_yuka03	1	100.00
room63_yuka06	room63_yuka06	1	100.00
room63_yuka1f	room63_yuka1f	1	100.00
sabak_gake01	sabak_gake01	8	100.00
sabak_iwa	sabak_iwa	7	100.00
saka_f_tsunagi	chip_kusa	1	100.00
saka_gake_top	r111_top01	1	100.00
sand	r124_sand	46	100.00
sand01_r	sand01_r	1	100.00
sand1	sand	11	100.00
sand_alpha	r124_sand	1	100.00
sand_najimi1	d105_a02	1	100.00
sandbag_blue1	sandbag_blue	1	78.10
sando	sando	1	100.00
schoolboard01	schoolboard01	5	100.00
schoolboard02	schoolboard02	2	100.00
seakin_body00__Comb__	seakin_body00	2	100.00
seakin_body01__Comb__	seakin_body01	2	100.00
seakin_body02__Comb__	seakin_body02	2	100.00
seakin_body03__Comb__	seakin_body03	2	100.00
seakin_body04__Comb__	seakin_body04	2	100.00
seakin_body05__Comb__	seakin_body05	1	50.85
shop5_floor	shop5_floor	1	100.00
shop6_floor	shop6_floor	1	100.00
soil01	soil01	1	100.00
soil1	chip_soil_a	8	100.00
soil2m	mountain_soil1	3	100.00
soil_a	chip_soil_a	5	100.00
soil_b	chip_soil_b	6	100.00
soil_chip_soil	chip_soil_a	13	100.00
space_road	toku_steps	3	100.00
space_yuka01	space_yuka01	1	100.00
spbase00_00_0000000000000000000_spbase00_00_000000000000000000_spbase00_00_00000000000000000_spbase00_00_0000000000000000_spbase00_00_000000000_spbase00_00_0000000_cave_iwa_00	cave_tc_00	3	100.00
spbase00_00_000000000000000000_spbase00_00_00000000000000000_spbase00_00_0000000000000000_spbase00_00_000000000_spbase00_00_0000000_cave_iwa_00	cave_iwa_00	6	100.00
spbase00_00_00000000000000000_spbase00_00_0000000000000000_spbase00_00_000000000_spbase00_00_0000000_cave_iwa_00	cave_iwa_00	3	100.00
spbase00_00_0000000000000000_spbase00_00_000000000_spbase00_00_0000000_cave_iwa_00	cave_sn_00	2	100.00
spbase00_00_0000000000000_spbase00_00_000000000_spbase00_00_0000000_cave_iwa_00	cave_sme_00	3	100.00
spbase00_00_000000000_spbase00_00_0000000_cave_iwa_00	cave_tc_00	12	100.00
spbase00_00_0000000_cave_iwa_00	cave_tc_00	3	100.00
spship01_carpet03_r	spship01_carpet03_r	1	100.00
stair_floor03_r	floor04_r	1	100.00
stairs_chip_steps01a	chip_steps01	15	100.00
stairs_r112b_chip_steps01a	fuen_steps01	2	100.00
stone	chip_iwa	14	100.00
t01_road_b	t01_road_b	4	100.00
t101_chip_grass_decolate	chip_alpha	2	16.65
t101_chip_wood_b	chip_wood_b	2	47.22
t101r0301_yuka1	t101r0301_yuka	1	100.00
t101r0301_yuka2_00	t101r0301_yuka2	2	100.00
t101r0301_yuka3_00	t101r0301_yuka3	2	100.00
t101r0301_yuka4_00	t101r0301_yuka4	2	100.00
t102_carpet01	t102_carpet01	2	100.00
t102_entyuka01	t102_entyuka01	4	100.00
t102_yuka01	t102_yuka01	2	100.00
t102_yuka02	t102_yuka02	1	100.00
t103_muro_6_chip_rock_b	chip_rock_b	2	7.62
t103_muro_6_chip_sea_b	chip_sea_b	2	100.00
t103_muro_6_r105_chip_rock_c	chip_rock_c	2	100.00
t103_muro_6_sand1	sand	2	100.00
t103_muro_6_tsunagi	chip_kusa	1	100.00
t103_sn_stone	t103_sn_iwa01	4	100.00
t103r0201_ent_floor01	t103r0201_ent_floor01	1	100.00
t103r0201_floor04_r	t103r0201_floor04_r	8	100.00
t105_woods	chip_wood_e	11	45.46
t106_grass_decolate	alpha	20	16.65
t106_r104_chip_wood_b	chip_wood_b	7	47.22
t106_shibafu0	t106_shibafu0	1	14.55
taki_fall	c108gym_fall	5	7.15
taki_gake	takigake02	2	100.00
taki_side	c108gym_fall_c	5	0.00
taki_smoke	r114_effect01	5	7.13
taki_top	c108gym_fall_d	5	0.00
taki_under	c108gym_fall_e	5	11.55
takigake	r114_takigake01	1	100.00
tall_gake	r114_takigake02	1	100.00
to_kotoki_kusa_a	101to_kotoki_kusa_a	1	100.00
to_kotoki_kusa_b	101to_kotoki_kusa_b	1	100.00
toku_gake01	toku_gake01	1	100.00
toku_iwa01	toku_iwa01	1	100.00
toku_rocket04	toku_rocket04	1	100.00
toku_rocket05	toku_rocket05	1	100.00
toku_rocket06	toku_rocket05	1	100.00
toku_rocket07	toku_rocket04	1	100.00
toku_steps	toku_steps	1	100.00
toku_stone	toku_iwa01	7	100.00
tokusane_kusa	tokusane_kusa	6	100.00
tokusane_miti	tokusane_isi	11	100.00
tokusane_miti1	b3_wall04	1	100.00
tokusane_miti2	b3_plate01	1	100.00
tokusane_shadow	muro_shadow	8	100.00
top_sand	sabak_ground1	1	100.00
tree_common_wood_c105gym0101_Comb106	c105_far	1	66.76
tree_common_wood_floor02	floor02	1	100.00
tree_tree_common_wood_c105gym0101_Comb106	c105_far	1	66.76
tree_tree_common_wood_floor02	floor02	1	100.00
tsunagi	101to_kotoki_kusa_a	23	100.00
tsunagi_a	mountain_kusa	3	100.00
tsunagi_b	mountain_kusa	2	100.00
tsunagi_chip_grass_decolate	chip_alpha	2	16.65
tsunagi_pasted__fuen_tsunagi	101to_kotoki_kusa_a	1	100.00
tyo_gake_entotsu_2	gake_entotsu_2	1	100.00
uminoposter	uminoposter	1	100.00
wall_rock	wall_rock	9	100.00
wall_rockC	wall_rockC	1	100.00
wall_wood01	wall_wood01	5	100.00
water01	d111_water01	5	10.68
water03	water03	1	100.00
water1	chip_river_a	26	0.00
water_01_m1	water_01	2	0.00
water_02_m1	water_02	2	9.28
water_03_m1	water_03	2	7.28
water_04_m1	water_04	2	0.00
water_05_m1	water_05	2	100.00
water_06_m1	water_06	2	0.00
water_a	water_a	2	0.00
win_wood01	win_wood01	5	100.00
wood01	wood01	8	100.00
wood01_r	wood01_r	11	100.00
wood01_r1	04wood01_r	1	100.00
wood02	wood02	1	100.00
wood_b	chip_wood_b	14	47.22
wood_saku_kg	wood_saku_kg	2	0.00
wood_shadow	chip_wood_shadow	11	0.34
world01_02_03_chip_grass_decolate	chip_alpha	1	16.65
world01_02_03_chip_kusa_a	chip_kusa_a	1	100.00
world01_02_03_chip_wood_b	chip_wood_b	2	46.97
world01_02_03_pasted__fuen_tsunagi	d111r_gake_a	1	100.00
yuka	yuka	1	100.00
yuka01	yuka01	4	100.00
yuka02	carpet01	2	100.00
yukaMAT	floor01_r	1	100.00
yukaMAT1	projection_dummy	1	100.00
yukawaku01	yukawaku01	8	100.00
zyuku_floor	zyuku_floor	1	100.00
