0000002B	+
F5375C7C	SetEscapeLocation
F55334CC	_CallWildLose
F5B95A14	ReleaseWinWork
F6401BCB	_SodateyaEggDelete
F69C5EFD	ContestWordSetAppeal
F7C4224B	RomGetLanguageID
F845BDFF	MsgLoad
F8790AC7	TrialHouse_GetBtlResultFixPoint
F9238461	PocketGetID
F9C2915F	IDPresentGetID
FA53034F	IsPlayingCameraAnimation
FA770AF8	sw_parts01
FA770AFA	sw_parts03
FA770AFB	sw_parts02
FA770AFC	sw_parts05
FA770AFD	sw_parts04
FA809642	IsWin
FAE8E81A	AILoad
FC20EDE8	GymEsperWarpEvent
FC264F03	ChangeFace
FC4BE110	GetMirrorModelDrawFlag
FCD826BB	GymSetVictoryInfo
FCE3350C	EVCameraSetSpecialParam
FCF435E7	_TrainerEyeGetItemNo
FD552395	GetPlayerFollowerGridZ
FD552397	GetPlayerFollowerGridX
FD6A9622	PokeMemoryMessageIsExistOther
FD6D388D	PokePartyChangePoodleFormNo
FE05ADA7	WazaOshieGetWazaID
FE577BD5	CallFriendlyShopSell
FEA84751	SetMirror
FEB567AE	CallSakasaBattle
FEBA3F2B	_SecretBaseGetOthersBaseMoveFailStatus
FF2920B2	WordSetPCMonsNickName
FF5DE422	_SecretBaseSetSaveDataParam
FF5E4193	BoxMonsNoExists
